Drug A,Drug B,Strain,Specie,Bliss Score,Source,Drug Pair,Drug A Inchikey,Drug B Inchikey,Interaction Type
spiramycin,colistin,escherichia coli iai1,escherichia coli,-0.5214,ACDB;Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'YKQOSKADJPQZHB-RGYSVOEGSA-N')",ACTOXUHEUCPTEW-CEUOBAOPSA-N,YKQOSKADJPQZHB-RGYSVOEGSA-N,synergy
fosfomycin,spiramycin,escherichia coli bw25113,escherichia coli,0.1104,ACDB;Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')",YMDXZJFXQJVXBF-STHAYSLISA-N,ACTOXUHEUCPTEW-CEUOBAOPSA-N,antagonism
fosfomycin,spiramycin,escherichia coli iai1,escherichia coli,0.1404,ACDB;Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')",YMDXZJFXQJVXBF-STHAYSLISA-N,ACTOXUHEUCPTEW-CEUOBAOPSA-N,antagonism
clarithromycin,doxorubicin,staphylococcus aureus newman,staphylococcus aureus,0.1054,Cacace,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'AOJJSUZBOXZQNB-TZSSRYMLSA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,antagonism
clarithromycin,teicoplanin,staphylococcus aureus dsm 20231,staphylococcus aureus,0.099,Cacace,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'BJNLLBUOHPVGFT-CAYRISATSA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,BJNLLBUOHPVGFT-CAYRISATSA-N,neutral
acetylsalicylic acid,clarithromycin,bacillus subtilis,bacillus subtilis,0.3217,Cacace,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'BSYNRYMUTXBXSQ-UHFFFAOYSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,antagonism
clarithromycin,acetylsalisylic acid,escherichia coli bw25113,escherichia coli,0.1239,Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'BSYNRYMUTXBXSQ-UHFFFAOYSA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,antagonism
clarithromycin,acetylsalisylic acid,escherichia coli iai1,escherichia coli,0.1085,Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'BSYNRYMUTXBXSQ-UHFFFAOYSA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,antagonism
clarithromycin,acetylsalisylic acid,pseudomonas aeruginosa pa14,pseudomonas aeruginosa,0.0549,Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'BSYNRYMUTXBXSQ-UHFFFAOYSA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,neutral
clarithromycin,acetylsalisylic acid,pseudomonas aeruginosa pao1,pseudomonas aeruginosa,0.1071,Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'BSYNRYMUTXBXSQ-UHFFFAOYSA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,antagonism
acetylsalicylic acid,clarithromycin,staphylococcus aureus newman,staphylococcus aureus,0.1507,Cacace,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'BSYNRYMUTXBXSQ-UHFFFAOYSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,antagonism
mecillinam,clarithromycin,escherichia coli bw25113,escherichia coli,0.1481,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'BWWVAEOLVKTZFQ-NTZNESFSSA-N')",BWWVAEOLVKTZFQ-NTZNESFSSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,antagonism
mecillinam,clarithromycin,escherichia coli iai1,escherichia coli,0.1096,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'BWWVAEOLVKTZFQ-NTZNESFSSA-N')",BWWVAEOLVKTZFQ-NTZNESFSSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,antagonism
clarithromycin,gentamicin,escherichia coli bw25113,escherichia coli,0.2315,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'CEAZRRDELHUEMR-UHFFFAOYSA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,CEAZRRDELHUEMR-UHFFFAOYSA-N,antagonism
clarithromycin,gentamicin,escherichia coli iai1,escherichia coli,0.1111,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'CEAZRRDELHUEMR-UHFFFAOYSA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,CEAZRRDELHUEMR-UHFFFAOYSA-N,antagonism
clarithromycin,gentamicin,staphylococcus aureus newman,staphylococcus aureus,0.1082,Cacace,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'CEAZRRDELHUEMR-UHFFFAOYSA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,CEAZRRDELHUEMR-UHFFFAOYSA-N,antagonism
bacitracin,clarithromycin,staphylococcus aureus newman,staphylococcus aureus,-0.0869,Cacace,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'CLKOFPXJLQSYAH-ABRJDSQDSA-N')",CLKOFPXJLQSYAH-ABRJDSQDSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,neutral
cycloserine d,clarithromycin,salmonella typhimurium 14028,salmonella typhimurium,-0.0299,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'DYDCUQKUCUHJBH-UWTATZPHSA-N')",DYDCUQKUCUHJBH-UWTATZPHSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,neutral
cycloserine d,clarithromycin,salmonella typhimurium lt2,salmonella typhimurium,-0.1492,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'DYDCUQKUCUHJBH-UWTATZPHSA-N')",DYDCUQKUCUHJBH-UWTATZPHSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,synergy
clarithromycin,cycloserine d,streptococcus pneumoniae,streptococcus pneumoniae,0.1363,Cacace,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'DYDCUQKUCUHJBH-UWTATZPHSA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,DYDCUQKUCUHJBH-UWTATZPHSA-N,antagonism
clarithromycin,moxifloxacin,salmonella typhimurium 14028,salmonella typhimurium,0.1894,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'FABPRXSRWADJSP-MEDUHNTESA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,FABPRXSRWADJSP-MEDUHNTESA-N,antagonism
clarithromycin,moxifloxacin,salmonella typhimurium lt2,salmonella typhimurium,0.1104,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'FABPRXSRWADJSP-MEDUHNTESA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,FABPRXSRWADJSP-MEDUHNTESA-N,antagonism
clarithromycin,moxifloxacin,staphylococcus aureus newman,staphylococcus aureus,0.1228,Cacace,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'FABPRXSRWADJSP-MEDUHNTESA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,FABPRXSRWADJSP-MEDUHNTESA-N,antagonism
clarithromycin,chir-90,escherichia coli bw25113,escherichia coli,-0.4425,Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'FQYBTYFKOHPWQT-VGSWGCGISA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,synergy
clarithromycin,chir-90,escherichia coli iai1,escherichia coli,-0.3208,Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'FQYBTYFKOHPWQT-VGSWGCGISA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,synergy
clarithromycin,chir-90,salmonella typhimurium 14028,salmonella typhimurium,-0.3246,Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'FQYBTYFKOHPWQT-VGSWGCGISA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,synergy
clarithromycin,chir-90,salmonella typhimurium lt2,salmonella typhimurium,-0.1717,Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'FQYBTYFKOHPWQT-VGSWGCGISA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,synergy
chlorhexidine,clarithromycin,salmonella typhimurium 14028,salmonella typhimurium,-0.6118,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'GHXZTYHSJHQHIJ-UHFFFAOYSA-N')",GHXZTYHSJHQHIJ-UHFFFAOYSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,synergy
chlorhexidine,clarithromycin,salmonella typhimurium lt2,salmonella typhimurium,-0.4888,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'GHXZTYHSJHQHIJ-UHFFFAOYSA-N')",GHXZTYHSJHQHIJ-UHFFFAOYSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,synergy
cefotaxime,clarithromycin,pseudomonas aeruginosa pa14,pseudomonas aeruginosa,0.0294,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'GPRBEKHLDVQUJE-QSWIMTSFSA-N')",GPRBEKHLDVQUJE-QSWIMTSFSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,neutral
cefotaxime,clarithromycin,pseudomonas aeruginosa pao1,pseudomonas aeruginosa,-0.1713,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'GPRBEKHLDVQUJE-QSWIMTSFSA-N')",GPRBEKHLDVQUJE-QSWIMTSFSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,synergy
clarithromycin,levofloxacin,bacillus subtilis,bacillus subtilis,0.0707,Cacace,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'GSDSWSVVBLHKDQ-JTQLQIEISA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,neutral
clarithromycin,levofloxacin,staphylococcus aureus dsm 20231,staphylococcus aureus,0.0901,Cacace,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'GSDSWSVVBLHKDQ-JTQLQIEISA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,neutral
clarithromycin,levofloxacin,staphylococcus aureus newman,staphylococcus aureus,0.0872,Cacace,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'GSDSWSVVBLHKDQ-JTQLQIEISA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,neutral
clarithromycin,ibuprofen,staphylococcus aureus dsm 20231,staphylococcus aureus,-0.1605,Cacace,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'HEFNNWSXXWATRW-UHFFFAOYSA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,HEFNNWSXXWATRW-UHFFFAOYSA-N,synergy
cefepime,clarithromycin,staphylococcus aureus dsm 20231,staphylococcus aureus,0.1284,Cacace,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'HVFLCNVBZFFHBT-ZKDACBOMSA-N')",HVFLCNVBZFFHBT-ZKDACBOMSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,antagonism
fusidic acid,clarithromycin,escherichia coli bw25113,escherichia coli,-0.4684,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'IECPWNUMDGFDKC-MZJAQBGESA-N')",IECPWNUMDGFDKC-MZJAQBGESA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,synergy
fusidic acid,clarithromycin,escherichia coli iai1,escherichia coli,-0.3408,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'IECPWNUMDGFDKC-MZJAQBGESA-N')",IECPWNUMDGFDKC-MZJAQBGESA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,synergy
clarithromycin,trimethoprim,bacillus subtilis,bacillus subtilis,-0.1927,Cacace,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,synergy
trimethoprim,clarithromycin,escherichia coli bw25113,escherichia coli,0.1179,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')",IEDVJHCEMCRBQM-UHFFFAOYSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,antagonism
trimethoprim,clarithromycin,escherichia coli iai1,escherichia coli,-0.0624,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')",IEDVJHCEMCRBQM-UHFFFAOYSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,neutral
piperacillin,clarithromycin,pseudomonas aeruginosa pa14,pseudomonas aeruginosa,0.0614,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'IVBHGBMCVLDMKU-GXNBUGAJSA-N')",IVBHGBMCVLDMKU-GXNBUGAJSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,neutral
piperacillin,clarithromycin,pseudomonas aeruginosa pao1,pseudomonas aeruginosa,-0.2193,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'IVBHGBMCVLDMKU-GXNBUGAJSA-N')",IVBHGBMCVLDMKU-GXNBUGAJSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,synergy
penicillin g,clarithromycin,salmonella typhimurium 14028,salmonella typhimurium,0.0594,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'JGSARLDLIJGVTE-MBNYWOFBSA-N')",JGSARLDLIJGVTE-MBNYWOFBSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,neutral
penicillin g,clarithromycin,salmonella typhimurium lt2,salmonella typhimurium,0.162,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'JGSARLDLIJGVTE-MBNYWOFBSA-N')",JGSARLDLIJGVTE-MBNYWOFBSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,antagonism
clarithromycin,penicillin g,staphylococcus aureus newman,staphylococcus aureus,-0.0938,Cacace,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'JGSARLDLIJGVTE-MBNYWOFBSA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,neutral
clindamycin,clarithromycin,escherichia coli bw25113,escherichia coli,0.1001,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'KDLRVYVGXIQJDK-AWPVFWJPSA-N')",KDLRVYVGXIQJDK-AWPVFWJPSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,antagonism
clindamycin,clarithromycin,escherichia coli iai1,escherichia coli,0.068,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'KDLRVYVGXIQJDK-AWPVFWJPSA-N')",KDLRVYVGXIQJDK-AWPVFWJPSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,neutral
clindamycin,clarithromycin,salmonella typhimurium 14028,salmonella typhimurium,0.1003,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'KDLRVYVGXIQJDK-AWPVFWJPSA-N')",KDLRVYVGXIQJDK-AWPVFWJPSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,antagonism
clindamycin,clarithromycin,salmonella typhimurium lt2,salmonella typhimurium,0.059,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'KDLRVYVGXIQJDK-AWPVFWJPSA-N')",KDLRVYVGXIQJDK-AWPVFWJPSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,neutral
amikacin,clarithromycin,escherichia coli bw25113,escherichia coli,0.1906,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')",LKCWBDHBTVXHDL-RMDFUYIESA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,antagonism
amikacin,clarithromycin,escherichia coli iai1,escherichia coli,-0.0516,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')",LKCWBDHBTVXHDL-RMDFUYIESA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,neutral
amikacin,clarithromycin,pseudomonas aeruginosa pa14,pseudomonas aeruginosa,0.3647,Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')",LKCWBDHBTVXHDL-RMDFUYIESA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,antagonism
amikacin,clarithromycin,pseudomonas aeruginosa pao1,pseudomonas aeruginosa,0.3398,Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')",LKCWBDHBTVXHDL-RMDFUYIESA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,antagonism
amikacin,clarithromycin,salmonella typhimurium 14028,salmonella typhimurium,-0.0491,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')",LKCWBDHBTVXHDL-RMDFUYIESA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,neutral
amikacin,clarithromycin,salmonella typhimurium lt2,salmonella typhimurium,0.1486,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')",LKCWBDHBTVXHDL-RMDFUYIESA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,antagonism
amoxicillin,clarithromycin,streptococcus pneumoniae,streptococcus pneumoniae,0.1775,Cacace,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'LSQZJLSUYDQPKJ-NJBDSQKTSA-N')",LSQZJLSUYDQPKJ-NJBDSQKTSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,antagonism
procaine,clarithromycin,escherichia coli bw25113,escherichia coli,-0.2012,Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'MFDFERRIHVXMIY-UHFFFAOYSA-N')",MFDFERRIHVXMIY-UHFFFAOYSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,synergy
procaine,clarithromycin,escherichia coli iai1,escherichia coli,-0.3556,Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'MFDFERRIHVXMIY-UHFFFAOYSA-N')",MFDFERRIHVXMIY-UHFFFAOYSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,synergy
procaine,clarithromycin,pseudomonas aeruginosa pa14,pseudomonas aeruginosa,0.092,Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'MFDFERRIHVXMIY-UHFFFAOYSA-N')",MFDFERRIHVXMIY-UHFFFAOYSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,neutral
procaine,clarithromycin,pseudomonas aeruginosa pao1,pseudomonas aeruginosa,0.2105,Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'MFDFERRIHVXMIY-UHFFFAOYSA-N')",MFDFERRIHVXMIY-UHFFFAOYSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,antagonism
clarithromycin,thymol,staphylococcus aureus dsm 20231,staphylococcus aureus,-0.31,Cacace,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'MGSRCZKZVOBKFT-UHFFFAOYSA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,MGSRCZKZVOBKFT-UHFFFAOYSA-N,synergy
clarithromycin,azithromycin,pseudomonas aeruginosa pa14,pseudomonas aeruginosa,0.1293,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,MQTOSJVFKKJCRP-BICOPXKESA-N,antagonism
clarithromycin,azithromycin,pseudomonas aeruginosa pao1,pseudomonas aeruginosa,0.0822,ACDB;Brochado,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')",AGOYDEPGAOXOCK-KCBOHYOISA-N,MQTOSJVFKKJCRP-BICOPXKESA-N,neutral
